Vid1,Vid2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,START_key.keys,START_key.rt,START_key.started,START_key.stopped,visual_key.keys,visual_key.rt,sem_key.keys,sem_key.rt,pass_loop.keys,end_resp.keys,end_resp.rt,end_resp.started,end_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
Sign_Stimuli/Stim3SCM.mp4,Sign_Stimuli/Stim2M.mp4,0,67,67,67,,,,,['2'],[3.668979174006381],['1'],[0.36755530298978556],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1SCM.mp4,Sign_Stimuli/Stim2SCM.mp4,0,68,68,68,,,,,['2'],[6.449281105000409],['1'],[1.7354028080007993],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2F.mp4,Sign_Stimuli/Stim2SCM.mp4,0,69,69,69,,,,,['1'],[5.525153905997286],['1'],[0.20983201700437348],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2SCM.mp4,Sign_Stimuli/Stim1M.mp4,0,70,70,70,,,,,['4'],[13.030255142992246],['2'],[9.000570949006942],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1F.mp4,Sign_Stimuli/Stim2F.mp4,0,71,71,71,,,,,['1'],[3.2423682490043575],['1'],[0.2672342000005301],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3SCM.mp4,Sign_Stimuli/Stim3SCF.mp4,0,72,72,72,,,,,['7'],[1.1798533099936321],['7'],[0.19136512999830302],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3VCF.mp4,Sign_Stimuli/Stim2SCF.mp4,0,73,73,73,,,,,['1'],[4.812413421997917],['1'],[0.1876699800050119],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1SCF.mp4,Sign_Stimuli/Stim2VCM.mp4,0,74,74,74,,,,,['1'],[7.207484578000731],['1'],[0.20514271900174208],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3VCF.mp4,Sign_Stimuli/Stim1SCM.mp4,0,75,75,75,,,,,['1'],[1.880098421999719],['1'],[0.2598152959981235],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1F.mp4,Sign_Stimuli/Stim1VCF.mp4,0,76,76,76,,,,,['5'],[3.5599198910058476],['4'],[5.261578466001083],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1M.mp4,Sign_Stimuli/Stim3VCM.mp4,0,77,77,77,,,,,['3'],[1.5264018870075233],['2'],[1.8412241420010105],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
